Data	Ora	NumAcq	Secondi	Canale_1	Canale_2	Canale_3	Canale_4	Canale_5	Canale_6	Canale_7	Canale_8	TEMP	RH%	Vh1	Vh2	Vh3	Vh4	Vh5	Vh6	Vh7	Vh8	ih1	ih2	ih3	ih4	ih5	ih6	ih7	ih8	Rh1	Rh2	Rh3	Rh4	Rh5	Rh6	Rh7	Rh8
08/04/25	09:20:40	1	5	0.137	1.256	11.663	4.068	3.840	0.380	3.977	4.555	27.034	1.975	3.840	3.910	0.000	3.920	4.010	3.640	3.860	3.820	0.151	0.158	0.000	0.174	0.154	0.164	0.156	0.152	25.430	24.747	NaN	22.529	26.039	22.195	24.744	25.132
08/04/25	09:20:45	2	10	0.137	1.256	11.656	4.068	3.838	0.380	3.977	4.555	27.035	1.998	3.840	3.910	0.000	3.920	4.010	3.640	3.860	3.820	0.151	0.158	0.000	0.174	0.154	0.164	0.156	0.152	25.430	24.747	NaN	22.529	26.039	22.195	24.744	25.132
08/04/25	09:20:50	3	15	0.137	1.256	11.636	4.068	3.838	0.380	3.977	4.555	27.466	1.991	3.840	3.910	0.000	3.920	4.010	3.640	3.860	3.820	0.151	0.158	0.000	0.174	0.154	0.164	0.156	0.152	25.430	24.747	NaN	22.529	26.039	22.195	24.744	25.132
08/04/25	09:20:55	4	20	0.137	1.256	11.652	4.068	3.841	0.380	3.977	4.555	27.471	1.965	3.840	3.910	0.000	3.920	4.010	3.640	3.860	3.820	0.151	0.158	0.000	0.174	0.154	0.164	0.156	0.152	25.430	24.747	NaN	22.529	26.039	22.195	24.744	25.132
08/04/25	09:21:00	5	25	0.137	1.256	11.662	4.068	3.841	0.380	3.977	4.555	27.037	1.951	3.840	3.910	0.000	3.920	4.010	3.640	3.860	3.820	0.151	0.158	0.000	0.174	0.154	0.164	0.156	0.152	25.430	24.747	NaN	22.529	26.039	22.195	24.744	25.132
08/04/25	09:21:05	6	30	0.137	1.256	11.659	4.068	3.835	0.380	3.977	4.555	27.037	1.942	3.840	3.910	0.000	3.920	4.010	3.640	3.860	3.820	0.151	0.158	0.000	0.174	0.154	0.164	0.156	0.152	25.430	24.747	NaN	22.529	26.039	22.195	24.744	25.132
08/04/25	09:21:10	7	35	0.137	1.256	11.664	4.068	3.834	0.380	3.977	4.555	27.474	2.025	3.840	3.910	0.000	3.920	4.010	3.640	3.860	3.820	0.151	0.158	0.000	0.174	0.154	0.164	0.156	0.152	25.430	24.747	NaN	22.529	26.039	22.195	24.744	25.132
08/04/25	09:21:15	8	40	0.137	1.256	11.664	4.068	3.834	0.380	3.977	4.555	27.039	1.932	3.840	3.910	0.000	3.920	4.010	3.640	3.860	3.820	0.151	0.158	0.000	0.174	0.154	0.164	0.156	0.152	25.430	24.747	NaN	22.529	26.039	22.195	24.744	25.132
08/04/25	09:21:20	9	45	0.137	1.255	11.666	4.068	3.836	0.380	3.977	4.555	27.040	1.968	3.840	3.910	0.000	3.920	4.010	3.640	3.860	3.820	0.151	0.158	0.000	0.174	0.154	0.164	0.156	0.152	25.430	24.747	NaN	22.529	26.039	22.195	24.744	25.132
08/04/25	09:21:25	10	50	0.137	1.255	11.663	4.068	3.839	0.380	3.977	4.555	27.041	1.928	3.840	3.910	0.000	3.920	4.010	3.640	3.860	3.810	0.151	0.158	0.000	0.174	0.154	0.164	0.156	0.152	25.430	24.747	NaN	22.529	26.039	22.195	24.744	25.066
08/04/25	09:21:30	11	55	0.137	1.255	11.661	4.068	3.832	0.380	3.977	4.555	27.042	1.942	3.840	3.910	0.000	3.920	4.010	3.640	3.860	3.820	0.151	0.158	0.000	0.174	0.154	0.164	0.156	0.152	25.430	24.747	NaN	22.529	26.039	22.195	24.744	25.132
08/04/25	09:21:35	12	60	0.137	1.255	11.658	4.068	3.833	0.380	3.977	4.555	27.043	1.951	3.840	3.910	0.000	3.920	4.010	3.640	3.860	3.820	0.151	0.158	0.000	0.174	0.154	0.164	0.156	0.152	25.430	24.747	NaN	22.529	26.039	22.195	24.744	25.132
08/04/25	09:21:40	13	65	0.137	1.255	11.653	4.068	3.837	0.380	3.977	4.555	27.044	1.972	3.840	3.910	0.000	3.920	4.010	3.640	3.860	3.820	0.151	0.158	0.000	0.174	0.154	0.164	0.156	0.152	25.430	24.747	NaN	22.529	26.039	22.195	24.744	25.132
